Datum,Bundesland,BundeslandId_Impfort,Impfungen_gesamt,Impfungen_gesamt_min1,Impfungen_gesamt_00bis04_min1,Impfungen_gesamt_gi,Impfungen_gesamt_00bis04_gi,Impfungen_gesamt_boost1,Impfungen_gesamt_boost2,Impfungen_gesamt_boost3,Impfungen_gesamt_boost4,Impfquote_gesamt_min1,Impfquote_05bis17_min1,Impfquote_05bis11_min1,Impfquote_12bis17_min1,Impfquote_18plus_min1,Impfquote_18bis59_min1,Impfquote_60plus_min1,Impfquote_gesamt_gi,Impfquote_05bis17_gi,Impfquote_05bis11_gi,Impfquote_12bis17_gi,Impfquote_18plus_gi,Impfquote_18bis59_gi,Impfquote_60plus_gi,Impfquote_gesamt_boost1,Impfquote_12bis17_boost1,Impfquote_18plus_boost1,Impfquote_18bis59_boost1,Impfquote_60plus_boost1,Impfquote_gesamt_boost2,Impfquote_12bis17_boost2,Impfquote_18plus_boost2,Impfquote_18bis59_boost2,Impfquote_60plus_boost2
2022-12-29,Deutschland,00,191472524,64832489,2285,63520562,1460,52074292,12264209,974132,100714,77.9,46.1,22.4,74.5,86.9,84.7,90.8,76.3,42.8,19.9,69.5,85.5,83.0,90.0,62.6,31.6,73.0,66.3,85.3,14.7,1.0,17.6,6.4,38.1
2022-12-29,Schleswig-Holstein,01,7471131,2356547,515,2326882,464,2056445,711963,90760,1029,80.6,60.5,30.7,94.2,87.8,85.1,92.3,79.6,57.5,29.7,88.6,87.0,84.4,91.4,70.4,48.5,80.7,74.8,91.0,24.4,1.6,29.0,10.6,60.7
2022-12-29,Hamburg,02,4674975,1606876,38,1565553,21,1243160,289433,31204,1414,86.7,52.4,29.7,80.1,97.1,96.7,98.0,84.4,46.9,24.2,75.4,95.1,94.1,97.8,67.1,29.4,78.9,73.3,92.8,15.6,1.3,18.7,8.1,45.0
2022-12-29,Niedersachsen,03,19358011,6404592,138,6229463,101,5383610,1486843,129786,2926,79.8,52.7,27.0,81.8,88.3,85.6,93.2,77.6,48.6,24.2,76.3,86.3,83.5,91.2,67.1,39.9,77.9,72.0,88.3,18.5,1.2,22.2,7.8,47.9
2022-12-29,Bremen,04,1817426,621445,5,597228,NA,456550,142936,14533,126,91.9,48.6,22.9,78.5,103.5,105.9,98.9,88.3,43.9,19.6,72.6,99.9,100.7,98.4,67.5,28.9,79.2,73.0,91.7,21.1,0.8,25.3,11.5,53.0
2022-12-29,Nordrhein-Westfalen,05,43705643,14658659,553,14247399,344,11825133,3192609,266954,73490,81.8,51.2,28.1,81.1,91.0,89.8,93.2,79.5,48.2,24.5,75.8,88.7,86.9,92.1,66.0,36.1,77.0,70.9,88.4,17.8,1.1,21.4,7.9,46.8
2022-12-29,Hessen,06,14366042,4936869,116,4743351,41,3838766,914967,91749,3064,78.4,48.2,23.9,75.7,87.4,85.7,90.7,75.4,43.1,20.9,68.4,84.5,82.4,88.5,61.0,31.3,71.3,64.9,83.8,14.5,1.1,17.4,6.9,37.9
2022-12-29,Rheinland-Pfalz,07,9532779,3242175,36,3104307,18,2614405,644554,44187,1676,79.0,48.2,23.6,76.7,87.8,84.7,93.2,75.6,44.2,21.5,70.6,84.3,81.2,89.8,63.7,34.0,74.0,67.6,85.3,15.7,1.0,18.7,6.3,40.5
2022-12-29,Baden-Württemberg,08,24677949,8418782,309,8288483,153,6825929,1312149,94967,5783,75.7,43.9,19.6,71.4,84.9,82.5,89.4,74.5,40.6,17.3,67.0,83.9,81.4,88.9,61.4,31.0,71.9,65.6,84.3,11.8,0.9,14.2,5.2,31.9
2022-12-29,Bayern,09,28970937,9909533,375,9899295,193,7803506,1545484,99474,4348,75.2,45.9,21.2,74.9,83.8,81.7,88.0,75.1,43.1,19.4,70.7,84.1,82.0,88.2,59.2,28.0,69.3,62.3,83.1,11.7,0.8,14.0,4.9,32.1
