Datum,Bundesland,BundeslandId_Impfort,Impfungen_gesamt,Impfungen_gesamt_min1,Impfungen_gesamt_voll,Impfungen_gesamt_boost,Impfquote_gesamt_min1,Impfquote_12bis17_min1,Impfquote_18plus_min1,Impfquote_18bis59_min1,Impfquote_60plus_min1,Impfquote_gesamt_voll,Impfquote_12bis17_voll,Impfquote_18plus_voll,Impfquote_18bis59_voll,Impfquote_60plus_voll
2021-10-31,Deutschland,00,111949073,57727042,55478597,2049762,69.4,46.2,80.2,72.2,86.7,66.7,41.6,77.3,73.0,85.3
2021-10-31,Schleswig-Holstein,01,4210222,2152863,2080673,106390,74.0,60.3,85.9,79.3,89.8,71.5,55.2,83.3,79.9,89.4
2021-10-31,Hamburg,02,2657089,1373683,1330470,42015,74.2,47.5,86.3,80.7,88.2,71.8,43.0,83.8,82.7,86.6
2021-10-31,Niedersachsen,03,10974146,5750705,5482630,153212,71.9,53.7,82.6,72.7,89.9,68.5,47.7,79.0,74.3,87.7
2021-10-31,Bremen,04,1063483,551541,531838,23974,81.1,51.2,93.9,89.8,94.2,78.2,45.8,90.7,89.8,92.5
2021-10-31,Nordrhein-Westfalen,05,25551481,13237903,12580944,494203,73.8,54.1,85.2,77.2,90.2,70.2,49.2,81.1,77.4,88.2
2021-10-31,Hessen,06,8410479,4352512,4144451,144846,69.2,46.5,80.1,72.8,86.7,65.9,41.3,76.4,72.6,84.0
2021-10-31,Rheinland-Pfalz,07,5593258,2909580,2730260,107768,71.0,48.9,81.7,72.6,89.5,66.6,41.9,76.9,72.0,85.9
2021-10-31,Baden-Württemberg,08,14460349,7401461,7208744,277893,66.7,42.3,77.4,69.8,85.3,64.9,38.7,75.6,71.6,83.8
2021-10-31,Bayern,09,17070629,8729510,8492457,302358,66.4,42.8,76.9,69.6,84.4,64.6,38.9,75.0,71.0,83.0
2021-10-31,Saarland,10,1444202,745014,720412,23141,75.7,50.2,86.0,77.2,90.7,73.2,44.2,83.4,79.4,89.8
2021-10-31,Berlin,11,5028920,2536353,2448463,156431,69.2,43.6,80.4,72.8,88.9,66.8,40.3,77.8,73.5,87.8
2021-10-31,Brandenburg,12,3059241,1591718,1532678,38181,62.9,33.2,72.4,60.7,80.1,60.6,29.2,70.2,63.2,80.8
2021-10-31,Mecklenburg-Vorpommern,13,2100614,1081985,1048836,30703,67.2,33.0,77.3,67.2,85.4,65.1,28.3,75.2,68.5,85.0
2021-10-31,Sachsen,14,4648159,2392024,2300449,51857,59.0,28.4,68.3,58.4,78.2,56.7,25.2,65.9,57.4,78.6
2021-10-31,Sachsen-Anhalt,15,2724598,1408831,1372883,43650,64.6,30.1,74.1,62.3,82.5,63.0,25.6,72.4,64.3,83.8
2021-10-31,Thüringen,16,2580483,1317776,1286828,52467,62.2,31.6,71.5,60.8,81.1,60.7,28.1,70.0,61.7,81.9
2021-10-31,Bundesressorts,17,371720,193583,185581,673,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
