Datum,Bundesland,BundeslandId_Impfort,Impfungen_gesamt,Impfungen_gesamt_min1,Impfungen_gesamt_voll,Impfungen_gesamt_boost,Impfquote_gesamt_min1,Impfquote_12bis17_min1,Impfquote_18plus_min1,Impfquote_18bis59_min1,Impfquote_60plus_min1,Impfquote_gesamt_voll,Impfquote_12bis17_voll,Impfquote_18plus_voll,Impfquote_18bis59_voll,Impfquote_60plus_voll,Impfquote_gesamt_boost,Impfquote_12bis17_boost,Impfquote_18plus_boost,Impfquote_18bis59_boost,Impfquote_60plus_boost
2021-11-30,Deutschland,00,123348281,59407188,57024545,10377200,71.4,52.9,82.2,74.8,87.3,68.6,46.4,79.2,75.6,86.1,12.5,1.2,14.9,8.9,26.0
2021-11-30,Schleswig-Holstein,01,4548481,2195168,2118880,366297,75.4,66.0,87.4,81.2,90.3,72.8,59.0,84.7,81.7,90.0,12.6,0.5,15.0,7.9,27.5
2021-11-30,Hamburg,02,2905977,1421266,1380115,204402,76.7,54.1,89.0,84.1,88.8,74.5,49.3,86.6,86.3,87.5,11.0,1.4,13.2,8.4,25.2
2021-11-30,Niedersachsen,03,12063719,5890518,5635094,959122,73.6,59.9,84.3,74.9,90.4,70.4,53.0,80.9,76.8,88.6,12.0,1.2,14.3,8.6,24.9
2021-11-30,Bremen,04,1159041,565317,545694,93766,83.1,55.7,96.0,92.6,94.9,80.2,51.1,92.8,92.6,93.4,13.8,0.5,16.5,8.8,32.0
2021-11-30,Nordrhein-Westfalen,05,28005867,13493777,12861807,2432123,75.3,59.6,86.5,79.0,90.6,71.8,53.6,82.7,79.5,88.7,13.6,1.3,16.2,10.0,28.2
2021-11-30,Hessen,06,9180433,4487689,4258158,676219,71.3,52.8,82.2,75.6,87.4,67.7,46.0,78.3,75.1,84.8,10.7,1.2,12.8,7.7,23.2
2021-11-30,Rheinland-Pfalz,07,6107795,2976356,2797414,494759,72.6,54.9,83.3,74.6,89.9,68.3,47.0,78.6,74.1,86.6,12.1,1.4,14.3,8.3,25.2
2021-11-30,Baden-Württemberg,08,15892150,7644298,7413767,1289662,68.8,48.6,79.6,72.6,86.0,66.8,42.6,77.5,74.1,84.6,11.6,1.2,13.9,8.4,25.0
2021-11-30,Bayern,09,19135028,9074106,8784973,1761781,69.1,52.7,79.4,72.8,85.2,66.9,44.4,77.3,74.0,84.0,13.4,1.2,16.0,10.2,27.7
2021-11-30,Saarland,10,1596235,764800,738097,140363,77.7,56.6,88.0,79.9,91.2,75.0,49.7,85.2,81.9,90.5,14.3,1.7,16.7,9.2,28.6
2021-11-30,Berlin,11,5631636,2643900,2539998,568141,72.2,52.2,83.4,76.3,90.0,69.3,46.2,80.4,76.8,89.0,15.5,1.6,18.5,9.9,38.7
2021-11-30,Brandenburg,12,3368383,1637207,1573475,265243,64.7,39.2,74.2,63.0,80.7,62.2,33.8,71.8,65.3,81.7,10.5,0.9,12.4,7.3,20.1
2021-11-30,Mecklenburg-Vorpommern,13,2321863,1120642,1079405,185873,69.6,40.8,79.7,70.6,86.1,67.0,33.3,77.1,71.1,85.9,11.5,0.9,13.6,7.7,22.2
2021-11-30,Sachsen,14,5125204,2462506,2361047,400200,60.7,33.0,70.1,60.8,79.0,58.2,28.9,67.5,59.4,79.5,9.9,0.9,11.7,6.4,19.5
2021-11-30,Sachsen-Anhalt,15,3025698,1463030,1419377,248054,67.1,37.3,76.6,65.9,83.2,65.1,30.8,74.6,67.2,85.0,11.4,1.2,13.3,7.5,21.3
2021-11-30,Thüringen,16,2890352,1371144,1329800,275566,64.7,37.9,74.1,64.3,82.0,62.7,33.1,72.1,64.6,82.9,13.0,0.7,15.3,8.4,25.2
2021-11-30,Bundesressorts,17,390419,195464,187444,15629,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
