Datum,Bundesland,BundeslandId_Impfort,Impfungen_gesamt,Impfungen_gesamt_min1,Impfungen_gesamt_05bis11_min1,Impfungen_gesamt_voll,Impfungen_gesamt_boost,Impfquote_gesamt_min1,Impfquote_12bis17_min1,Impfquote_18plus_min1,Impfquote_18bis59_min1,Impfquote_60plus_min1,Impfquote_gesamt_voll,Impfquote_12bis17_voll,Impfquote_18plus_voll,Impfquote_18bis59_voll,Impfquote_60plus_voll,Impfquote_gesamt_boost,Impfquote_12bis17_boost,Impfquote_18plus_boost,Impfquote_18bis59_boost,Impfquote_60plus_boost
2021-12-26,Deutschland,00,146710513,61418444,297622,58896532,29963943,73.9,59.2,84.2,77.3,88.2,70.8,51.8,81.5,78.6,87.1,36.0,4.7,42.9,34.1,59.3
2021-12-26,Schleswig-Holstein,01,5404318,2257699,8351,2188733,1091295,77.6,74.0,89.1,83.5,90.9,75.2,64.9,87.2,84.8,91.4,37.5,2.6,44.6,33.7,63.9
2021-12-26,Hamburg,02,3339621,1463882,6465,1420225,561586,79.0,59.5,91.0,86.5,89.5,76.7,54.4,88.9,89.2,88.2,30.3,4.0,36.2,29.5,53.1
2021-12-26,Niedersachsen,03,14537380,6054027,26592,5802316,3111605,75.6,65.2,86.0,77.1,91.0,72.5,58.0,83.1,79.7,89.4,38.9,5.9,46.3,38.4,60.8
2021-12-26,Bremen,04,1354423,589876,2466,562131,249593,86.7,61.2,99.5,97.1,96.4,82.7,55.2,95.5,95.9,94.5,36.7,2.2,43.8,33.9,63.8
2021-12-26,Nordrhein-Westfalen,05,33361874,13926892,87048,13251181,6985782,77.7,65.2,88.5,81.4,91.5,73.9,58.2,85.0,82.4,89.9,39.0,4.9,46.5,37.4,64.1
2021-12-26,Hessen,06,10811120,4634770,16035,4386410,2038597,73.6,58.6,84.3,78.2,88.2,69.7,50.9,80.4,77.8,85.6,32.4,4.5,38.6,30.7,54.5
2021-12-26,Rheinland-Pfalz,07,7300753,3067769,13785,2872642,1525750,74.9,61.3,85.1,77.0,90.6,70.1,52.0,80.4,76.6,87.3,37.2,5.0,44.2,35.4,60.2
2021-12-26,Baden-Württemberg,08,19202319,7927492,37471,7683542,4064610,71.4,55.8,81.7,75.2,86.9,69.2,47.9,80.1,77.3,85.7,36.6,5.9,43.7,36.1,59.2
2021-12-26,Bayern,09,22736167,9404627,55633,9142281,4690589,71.6,60.4,81.4,75.3,86.1,69.6,52.3,80.0,77.5,85.1,35.7,4.3,42.5,33.4,61.1
2021-12-26,Saarland,10,1914937,786766,2413,757734,419169,80.0,63.0,89.9,82.5,91.8,77.0,54.7,87.2,84.8,91.2,42.6,6.1,49.7,40.0,65.2
2021-12-26,Berlin,11,6562081,2741194,23379,2612568,1333736,74.8,58.5,85.5,78.6,90.8,71.3,52.2,82.4,79.2,89.8,36.4,4.9,43.4,33.7,66.0
2021-12-26,Brandenburg,12,3985470,1700449,4751,1624822,771940,67.2,45.4,76.5,66.1,81.6,64.2,38.5,74.0,68.2,82.6,30.5,3.4,36.1,27.2,49.5
2021-12-26,Mecklenburg-Vorpommern,13,2732487,1158770,1810,1114296,524799,71.9,48.4,81.9,73.6,86.8,69.2,38.9,79.3,74.2,86.9,32.6,3.5,38.3,27.6,53.8
2021-12-26,Sachsen,14,6043134,2554242,4229,2437213,1152232,63.0,37.8,72.4,63.7,80.1,60.1,32.8,69.5,62.0,80.5,28.4,3.4,33.6,24.2,47.4
2021-12-26,Sachsen-Anhalt,15,3570134,1516207,2407,1473150,688124,69.5,43.4,79.0,69.2,84.0,67.6,35.8,77.2,70.8,86.2,31.6,3.5,36.8,25.7,52.3
2021-12-26,Thüringen,16,3386165,1435211,4768,1378008,666137,67.7,43.7,77.1,68.2,83.4,65.0,38.0,74.5,67.9,83.9,31.4,2.3,36.9,26.7,51.7
2021-12-26,Bundesressorts,17,468130,198571,19,189280,88399,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
