Datum,Bundesland,BundeslandId_Impfort,Impfungen_gesamt,Impfungen_gesamt_min1,Impfungen_gesamt_voll,Impfungen_gesamt_boost,Impfquote_gesamt_min1,Impfquote_05bis17_min1,Impfquote_05bis11_min1,Impfquote_12bis17_min1,Impfquote_18plus_min1,Impfquote_18bis59_min1,Impfquote_60plus_min1,Impfquote_gesamt_voll,Impfquote_05bis17_voll,Impfquote_05bis11_voll,Impfquote_12bis17_voll,Impfquote_18plus_voll,Impfquote_18bis59_voll,Impfquote_60plus_voll,Impfquote_gesamt_boost,Impfquote_12bis17_boost,Impfquote_18plus_boost,Impfquote_18bis59_boost,Impfquote_60plus_boost
2022-03-20,Deutschland,00,171472356,63617998,63045378,48417947,76.5,41.7,21.5,65.3,85.8,79.4,88.8,75.8,38.7,18.2,62.6,85.4,83.7,88.7,58.2,29.0,67.7,62.0,78.4
2022-03-20,Schleswig-Holstein,01,6629110,2341011,2345532,2076339,80.4,54.1,29.6,81.4,90.2,84.9,91.4,80.6,50.9,27.4,77.0,90.8,89.6,92.9,71.3,41.5,77.4,70.8,89.1
2022-03-20,Hamburg,02,4063550,1538143,1534658,1099159,83.0,44.7,27.1,67.0,93.7,89.6,91.1,82.8,41.1,22.0,65.2,94.0,95.0,91.3,59.3,26.7,69.7,66.1,78.8
2022-03-20,Niedersachsen,03,17073623,6274917,6201485,5029989,78.4,47.1,26.1,70.5,87.4,78.9,91.5,77.5,43.5,22.1,67.5,86.8,84.6,90.7,62.8,37.2,72.9,68.1,81.8
2022-03-20,Bremen,04,1607028,613701,605214,436322,90.2,43.4,21.9,68.5,102.1,100.5,97.2,89.0,40.4,18.4,66.3,101.0,103.3,96.4,64.2,25.7,75.2,69.6,86.5
2022-03-20,Nordrhein-Westfalen,05,38628582,14405906,14121243,10911113,80.4,47.4,26.9,70.7,89.8,83.1,92.1,78.8,43.6,22.4,67.8,88.4,87.0,91.2,60.9,32.6,71.0,65.4,81.8
2022-03-20,Hessen,06,12774160,4826442,4684556,3515082,76.7,42.5,22.7,65.4,86.1,80.5,88.8,74.4,38.2,18.8,60.8,84.0,82.6,86.9,55.9,29.0,65.2,60.4,74.8
2022-03-20,Rheinland-Pfalz,07,8476629,3176964,3073135,2393805,77.5,43.4,22.9,67.2,86.6,79.0,91.2,75.0,40.2,20.0,63.6,84.1,81.5,88.7,58.4,31.7,67.8,62.4,77.6
2022-03-20,Baden-Württemberg,08,22239400,8206769,8220663,6293344,73.9,38.9,18.8,61.9,83.3,77.2,87.6,74.0,36.2,15.7,59.5,83.9,82.3,87.3,56.7,29.4,66.3,61.5,75.9
2022-03-20,Bayern,09,26343702,9719405,9808092,7321061,74.0,41.7,20.8,66.2,82.8,77.2,86.7,74.6,39.5,18.1,64.5,83.9,82.6,86.7,55.7,25.7,65.1,59.2,77.1
2022-03-20,Saarland,10,2214241,811010,808172,644585,82.4,42.3,18.2,69.5,91.5,84.7,92.4,82.1,39.4,15.6,66.3,91.5,90.8,92.7,65.5,33.5,75.0,69.6,83.6
2022-03-20,Berlin,11,7696083,2843319,2817575,2165515,77.6,42.1,25.0,64.7,87.3,80.7,91.5,76.9,39.6,22.1,62.6,86.8,84.7,91.9,59.1,29.0,69.2,63.2,83.1
2022-03-20,Brandenburg,12,4685715,1755760,1743906,1298901,69.4,29.0,10.4,51.7,78.2,68.4,82.2,68.9,26.6,8.1,49.3,78.3,74.2,84.3,51.3,18.4,59.9,52.2,71.5
2022-03-20,Mecklenburg-Vorpommern,13,3233013,1196698,1195849,906386,74.3,30.7,10.1,55.9,83.7,76.1,87.4,74.2,27.6,7.3,52.4,84.0,80.8,88.7,56.3,19.9,65.2,56.2,78.5
2022-03-20,Sachsen,14,7088499,2650377,2611825,1927780,65.3,23.4,7.3,43.7,74.4,66.5,81.0,64.4,22.0,6.0,42.2,73.6,67.5,82.6,47.5,14.4,55.7,46.3,69.6
2022-03-20,Sachsen-Anhalt,15,4222887,1568056,1592240,1170556,71.9,27.5,8.2,50.9,80.9,72.1,84.7,73.0,25.3,6.5,48.1,82.5,78.4,88.4,53.7,16.5,62.1,51.6,76.7
2022-03-20,Thüringen,16,3965716,1487547,1486331,1086326,70.2,28.8,11.0,50.8,79.0,70.9,84.3,70.1,27.7,9.9,49.8,79.1,74.2,86.1,51.2,18.1,59.4,49.5,73.6
2022-03-20,Bundesressorts,17,530418,201973,194902,141684,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
